iteration,trial,timestamp,sigma_s,sigma_r,ms_sp,ms_sr,chroma_boost,dust_threshold,n_plates,avg_mse,avg_noise_pct,combined_score
1,0,2026-03-30T23:16:12.257816,80.0,0.4,15.0,20.0,1.3,50.0,10.0,436.9,0.1593,353.6
1,1,2026-03-30T23:16:24.244638,100.0,0.5,0.0,0,1.3,80.0,8.0,433.6,0.1703,354.6
1,2,2026-03-30T23:16:43.119642,80.0,0.3,40.0,30.0,1.3,80.0,12.0,481.5,0.1675,387.3
1,3,2026-03-30T23:16:55.121187,200.0,0.8,40.0,40.0,1.0,30.0,10.0,496.6,0.1269,385.7
1,4,2026-03-30T23:17:00.533293,80.0,0.6,10.0,40.0,1.2,30.0,12.0,391.4,0.2021,334.6
1,5,2026-03-30T23:17:12.623522,150.0,0.4,20.0,20.0,1.3,150.0,6.0,475.6,0.1089,365.6
1,6,2026-03-30T23:17:17.279271,100.0,0.7,0.0,0,1.5,50.0,8.0,441.6,0.1988,368.7
1,7,2026-03-30T23:17:22.955468,150.0,0.5,10.0,30.0,1.2,30.0,8.0,405.0,0.1394,325.3
1,8,2026-03-30T23:17:33.667187,40.0,0.7,20.0,40.0,1.3,80.0,10.0,450.7,0.1314,354.9
1,9,2026-03-30T23:17:40.446361,60.0,0.5,0,0.0,1.2,80.0,12.0,434.1,0.2370,375.0
1,10,2026-03-30T23:17:46.240875,60.0,0.3,15.0,60.0,1.0,80.0,10.0,452.9,0.1417,359.6
1,11,2026-03-30T23:17:55.263394,120.0,0.5,20.0,20.0,1.0,50.0,8.0,414.5,0.1825,344.9
1,12,2026-03-30T23:18:03.207644,100.0,0.6,20.0,30.0,1.2,80.0,10.0,450.5,0.1280,353.8
1,13,2026-03-30T23:18:08.367501,100.0,0.6,20.0,60.0,1.0,100.0,8.0,530.8,0.1018,402.1
1,14,2026-03-30T23:18:13.298547,80.0,0.5,0,0.0,1.3,150.0,6.0,576.2,0.1375,444.6
1,15,2026-03-30T23:18:18.647486,100.0,0.7,15.0,30.0,1.2,50.0,6.0,442.4,0.1309,348.9
1,16,2026-03-30T23:18:24.044876,40.0,0.6,0.0,0,1.0,30.0,8.0,396.7,0.1730,329.6
1,17,2026-03-30T23:18:30.841973,120.0,0.5,0,0.0,1.3,150.0,12.0,492.0,0.1932,402.3
1,18,2026-03-30T23:18:37.462527,200.0,0.4,0,0.0,1.3,30.0,10.0,397.5,0.2178,343.6
1,19,2026-03-30T23:18:42.897771,100.0,0.5,10.0,30.0,1.3,30.0,8.0,399.1,0.1439,322.5
